scenario_id,family,turns,status,mean_latency_seconds,product_count
A001,raw_category_adversarial,1,PASS,0.0,0
A002,raw_category_adversarial,1,PASS,0.0,0
A003,raw_category_adversarial,1,PASS,0.0,0
A004,raw_category_adversarial,1,PASS,0.0,0
A005,raw_category_adversarial,1,PASS,0.0,0
A006,raw_category_adversarial,1,PASS,0.0,0
A007,raw_category_adversarial,1,PASS,0.0,0
A008,raw_category_adversarial,1,PASS,0.0,0
A009,raw_category_adversarial,1,PASS,0.0,0
A010,raw_category_adversarial,1,PASS,0.0,0
A011,raw_category_adversarial,1,PASS,0.0,0
A012,raw_category_adversarial,1,PASS,0.0,0
A013,raw_category_adversarial,1,PASS,0.0,0
F001,basic_search,1,PASS,0.87,5
F002,basic_search,1,PASS,0.732,5
F003,basic_search,1,PASS,0.792,5
F004,basic_search,1,PASS,0.532052,0
F005,basic_search,1,PASS,0.833,5
F006,hard_constraints,1,PASS,1.001,1
F007,hard_constraints,1,PASS,0.874,5
F008,hard_constraints,1,PASS,0.794,5
F009,hard_constraints,1,PASS,0.787,5
F010,hard_constraints,1,PASS,0.78,1
F011,hard_constraints,1,PASS,1.012,5
F012,refinement,2,PASS,0.9199999999999999,2
F013,reformulation,2,PASS,0.7625,6
F014,show_more,2,PASS,7.535,10
F015,comparison_questions,3,PASS,6.399333333333334,12
F016,pending_relaxation,1,PASS,0.967,0
F017,unsupported,4,PASS,0.9205,0
F018,outfits,2,PASS,19.435,0
F019,personalization,2,PASS,2.023,5
F020,persistence,2,PASS,0.4415,10
F021,cross_category_live,3,PASS,13.193,1
F022,cross_category_live,1,PASS,0.77,0
